"","X.1","scientificName","id","institutionCode","collectionCode","basisOfRecord","occurrenceID","X","kingdom","phylum","scientificNameAuthorship","genus","specificEpithet","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","substrate","country","stateProvince","county","locality","localitySecurity","decimalLatitude","decimalLongitude","verbatimCoordinates","modified","collId","recordId","references","File.Name","Notes","Quality","Chemistry","Chemistry.Author","Source","Family","Order","Class","Morphology","Photobiont"
"229",229,"Pertusaria ophthalmiza",NA,"","","","",884947,"","","","","","Wetmore, C.","92448","",2004,NA,NA,NA,"","on balsam fir","","","","",NA,NA,NA,"","",NA,"","","884947.2004","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
"230",230,"Pertusaria ophthalmiza",NA,"","","","",887082,"","","","","","Wetmore, C.","94470","",2005,NA,NA,NA,"","on white pine","","","","",NA,NA,NA,"","",NA,"","","887082.2005","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
"231",231,"Pertusaria ophthalmiza",NA,"","","","",885134,"","","","","","Johansson, P.","96","",2003,NA,NA,NA,"","on balsam fir","","","","",NA,NA,NA,"","",NA,"","","885134.2003","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
"232",232,"Pertusaria ophthalmiza",NA,"","","","",732891,"","","","","","Wetmore, C.","27156","",1977,NA,NA,NA,"","on white birch","","","","",NA,NA,NA,"","",NA,"","","732891.1977","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
"233",233,"Pertusaria ophthalmiza",NA,"","","","",786020,"","","","","","Trana, T.","14838","",1986,NA,NA,NA,"","on dead white birch","","","","",NA,NA,NA,"","",NA,"","","786020.1986","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
"234",234,"Pertusaria ophthalmiza",NA,"","","","",924218,"","","","","","Wetmore, C.","18538","",1969,NA,NA,NA,"","on balsam fir","","","","",NA,NA,NA,"","",NA,"","","924218.1969","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
"235",235,"Pertusaria ophthalmiza",NA,"","","","",718602,"","","","","","Wetmore, C.","40387","",1979,NA,NA,NA,"","on dead red maple","","","","",NA,NA,NA,"","",NA,"","","718602.1979","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
"236",236,"Pertusaria ophthalmiza",NA,"","","","",924030,"","","","","","Wetmore, C.","76980","",1996,NA,NA,NA,"","on balsam fir","","","","",NA,NA,NA,"","",NA,"","","924030.1996","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
"237",237,"Pertusaria ophthalmiza",NA,"","","","",21002,"","","","","","Fink, B.","410","",1897,NA,NA,NA,"","on trees","","","","",NA,NA,NA,"","",NA,"","","21002.1897","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
"238",238,"Pertusaria ophthalmiza",NA,"","","","",786394,"","","","","","Trana, T.","14247","",1986,NA,NA,NA,"","on white birch","","","","",NA,NA,NA,"","",NA,"","","786394.1986","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
"239",239,"Pertusaria ophthalmiza",NA,"","","","",718657,"","","","","","Wetmore, C.","40096","",1979,NA,NA,NA,"","on white pine","","","","",NA,NA,NA,"","",NA,"","","718657.1979","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
"240",240,"Pertusaria ophthalmiza",NA,"","","","",21125,"","","","","","Fink, B.","726","",1900,NA,NA,NA,"","on birch","","","","",NA,NA,NA,"","",NA,"","","21125.1900","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
"241",241,"Pertusaria ophthalmiza",NA,"","","","",868793,"","","","","","Wetmore, C.","82633","",1999,NA,NA,NA,"","on balsam fir","","","","",NA,NA,NA,"","",NA,"","","868793.1999","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
"242",242,"Pertusaria ophthalmiza",NA,"","","","",718647,"","","","","","Wetmore, C.","40172","",1979,NA,NA,NA,"","on balsam fir","","","","",NA,NA,NA,"","",NA,"","","718647.1979","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
