id,institutionCode,collectionCode,basisOfRecord,occurrenceID,  ,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,substrate,country,stateProvince,county,locality,localitySecurity,decimalLatitude,decimalLongitude,verbatimCoordinates,modified,collId,recordId,references,File Name,Notes,Quality,Chemistry,Chemistry Author,Source,Chemistry Methods
,,,,,879812,,,,,,Acarospora americana,,,,"Wetmore, C.",88052,,2002,,,,,,,,,,,,,,,,,,,879812.2002,,good,,,,
,,,,,878661,,,,,,Peltigera elisabethae,,,,"Wetmore, C.",90115,,2003,,,,,,,,,,,,,,,,,,,878661.2003,,,,,,
,,,,,877642,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",87918,6/13/2002,2002,6,13,164,,13-Jun-02,on thuja,United States,Minnesota,Saint Louis,3.5 Mi N of Kinney; Superior National Forest,0,47.56555556,-92.74972222,"47°33'56""N, 92°44'59""W",6/2/2016 12:52,11,urn:uuid:0fb81f70-62c4-48de-b890-520cb7494ad5,http://bellatlas.umn.edu/collections/individual/index.php?occid=744719,877642.2002,dark spots on lichen show low reflectance %,good,,,,
,,,,,874993,,,,,,Trypethelium virens,,,,"Wetmore, C.",86145,,2001,,,,,,on holly,,,,,,,,,,,,,874993.2001,,,,,,
,,,,,874527,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia flaventior,(Stirt.) Hale,Flavopunctelia,flaventior,"Wetmore, C.",87142,7/24/2001,2001,7,24,205,,24-Jul-01,on thuja,United States,Minnesota,Saint Louis,W of Norway Point; Superior National Forest,0,47.42916667,-92.15833333,"47°25'45""N, 92°09'30""W",6/2/2016 12:52,11,urn:uuid:53f68b3a-9410-4a73-98af-0a63be17ac02,http://bellatlas.umn.edu/collections/individual/index.php?occid=743030,874527.2001,,good,,,,
,,,,,874339,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia soredica,(Nyl.) Hale,Flavopunctelia,soredica,"Wetmore, C.",87230,7/28/2001,2001,7,28,209,,28-Jul-01,on balsam fir,United States,Minnesota,Saint Louis,1.5 Mi N of Pfeifer Lake; Superior National Forest,0,47.76555556,-92.46305556,"47°45'56""N, 92°27'47""W",6/2/2016 12:52,11,urn:uuid:09cbf22b-8716-4e6b-a7a6-2bfb0db14510,http://bellatlas.umn.edu/collections/individual/index.php?occid=742842,874339.2001,,good,,,,
,,,,,874310,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia flaventior,(Stirt.) Hale,Flavopunctelia,flaventior,"Wetmore, C.",87272,7/29/2001,2001,7,29,210,,29-Jul-01,,United States,Minnesota,Saint Louis,3.5 Mi E of Idington; Superior National Forest,0,47.74527778,-92.56583333,"47°44'43""N, 92°33'57""W",6/2/2016 12:52,11,urn:uuid:f0c7900b-912a-4250-b55a-07dcf49448e5,http://bellatlas.umn.edu/collections/individual/index.php?occid=742813,874310.2001,,good,,,,
,,,,,874253,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia flaventior,(Stirt.) Hale,Flavopunctelia,flaventior,"Wetmore, C.",87362,7/29/2001,2001,7,29,210,,29-Jul-01,on red maple,United States,Minnesota,Saint Louis,S of Idington Station; Superior National Forest,0,47.73944444,-92.62638889,"47°44'22""N, 92°37'35""W",6/2/2016 12:52,11,urn:uuid:6b846e16-ea6a-43ac-a6de-5184bcd7e9cf,http://bellatlas.umn.edu/collections/individual/index.php?occid=742756,874253.2001,,good,,,,
,,,,,873667,,,,,,Chrysothrix candelaris,,,,"Wetmore, C.",86602,,2001,,,,,,on black cherry,,,,,,,,,,,,,873667.2001,,,,,,
,,,,,873112,,,,,,Baeomyces rufus,,,,"Wetmore, C.",86830,,2001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,873051,,,,,,Baeomyces rufus,,,,"Wetmore, C.",87018,,2001,,,,,,,,,,,,,,,,,,,873051.2001,,,,,,
,,,,,872387,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia euplecta,(Stirt.) Hale,Flavoparmelia,euplecta,"Wetmore, C.",78234,10/23/1997,1997,10,23,296,,23-Oct-97,,Australia,Western Australia,,"Mt. Barker, 9 Km E of",0,-34.645,117.7769444,"34°38'42""S, 117°46'37""E",6/2/2016 12:52,11,urn:uuid:edf6922a-8464-400a-9984-33c14de98954,http://bellatlas.umn.edu/collections/individual/index.php?occid=740949,872387.1997,,good,,,,
,,,,,872336,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia haysomii,(C.W. Dodge) Hale,Flavoparmelia,haysomii,"Wetmore, C.",78451,10/31/1997,1997,10,31,304,,31-Oct-97,,Australia,New South Wales,,"Booral, S of; Rex Filson'S Home",0,-32.48555556,151.9527778,"32°29'08""S, 151°57'10""E",6/2/2016 12:52,11,urn:uuid:a8b24c82-e75d-4957-8f78-3e711025642b,http://bellatlas.umn.edu/collections/individual/index.php?occid=740898,872336.1997,,good,,,,
,,,,,871614,,,,,,Trypethelium virens,,,,"Wetmore, C.",84997,,2000,,,,,,,,,,,,,,,,,,,871614.2000,extra dot after file name ,,,,,
,,,,,869896,,,,,,Strigula submuriformis,,,,"Wheeler, G.",18619,,1998,,,,,,,,,,,,,,,,,,,869896.1998,,,,,,
,,,,,869651,,,,,,Dimelaena oreina,,,,"Wheeler, G.",19595,,1999,,,,,,,,,,,,,,,,,,,869651.1999,,,,,,
,,,,,869634,,,,,,Dimelaena oreina,,,,"Wheeler, G.",19625,,1999,,,,,,,,,,,,,,,,,,,869634.1999,,,,,,
,,,,,869562,,,,,,Candelaria concolor,,,,"Wheeler, G.",19905,,1999,,,,,,on fallen tree,,,,,,,,,,,,,869562.1999,,good,,,,
,,,,,869518,,,,,,Candelaria concolor,,,,"Wheeler, G.",20007,,1999,,,,,,,,,,,,,,,,,,,869518.1999,,good,,,,
,,,,,869319,,,,,,Chrysothrix candelaris,,,,"Nash, T.",41023,,1994,,,,,,pseudotsuga menziesii,,,,,,,,,,,,,869319.1994,,,,,,
,,,,,869081,,,,,,Loxospora elatina,,,,"Wetmore, C.",83357,,1999,,,,,,on thuja,,,,,,,,,,,,,869081.1999,,,,,,
,,,,,868966,,,,,,Baeomyces rufus,,,,"Wetmore, C.",83722,,1999,,,,,,,,,,,,,,,,,,,868966.1999,,,,,,
,,,,,868952,,,,,,Ionaspis lacustris,,,,"Wetmore, C.",83792,,1999,,,,,,,,,,,,,,,,,,,868952.1999,,,,,,
,,,,,868841,,,,,,Graphis scripta,,,,"Wetmore, C.",82491,,1999,,,,,,on ash,,,,,,,,,,,,,868841.1999,,,,,,
,,,,,868793,,,,,,Pertusaria ophthalmiza,,,,"Wetmore, C.",82633,,1999,,,,,,on balsam fir,,,,,,,,,,,,,868793.1999,,,,,,
,,,,,867767,,,,,,Peltigera elisabethae,,,,"Wetmore, C.",83768,,1999,,,,,,,,,,,,,,,,,,,867767.1999,,,,,,
